row_id,datetime,energy
1,01-03-2008 0.00,1259.985563
2,01-03-2008 1.00,1095.5415
3,01-03-2008 2.00,1056.2475
4,01-03-2008 3.00,1034.742
5,01-03-2008 4.00,1026.3345
6,01-03-2008 5.00,1033.7685
7,01-03-2008 6.00,1086.78
8,01-03-2008 7.00,1211.742
9,01-03-2008 8.00,1293.693
10,01-03-2008 9.00,1318.9155
11,01-03-2008 10.00,1337.943
12,01-03-2008 11.00,1348.917
13,01-03-2008 12.00,1360.6875
14,01-03-2008 13.00,1363.254
15,01-03-2008 14.00,1385.4675
16,01-03-2008 15.00,1392.9015
17,01-03-2008 16.00,1392.9015
18,01-03-2008 17.00,1384.494
19,01-03-2008 18.00,1358.7405
20,01-03-2008 19.00,1330.509
21,01-03-2008 20.00,1346.1735
22,01-03-2008 21.00,1358.3865
23,01-03-2008 22.00,1313.0745
24,01-03-2008 23.00,1244.9295
25,02-03-2008 0.00,1163.5095
26,02-03-2008 1.00,1085.01
27,02-03-2008 2.00,1032.972
28,02-03-2008 3.00,1004.652
29,02-03-2008 4.00,989.1645
30,02-03-2008 5.00,986.067
31,02-03-2008 6.00,1002.7935
32,02-03-2008 7.00,1050.141
33,02-03-2008 8.00,1096.2495
34,02-03-2008 9.00,1163.244
35,02-03-2008 10.00,1213.512
36,02-03-2008 11.00,1246.257
37,02-03-2008 12.00,1246.08
38,02-03-2008 13.00,1243.956
39,02-03-2008 14.00,1233.159
40,02-03-2008 15.00,1217.583
41,02-03-2008 16.00,1201.7415
42,02-03-2008 17.00,1205.37
43,02-03-2008 18.00,1193.2455
44,02-03-2008 19.00,1184.0415
45,02-03-2008 20.00,1223.5125
46,02-03-2008 21.00,1243.956
47,02-03-2008 22.00,1240.3275
48,02-03-2008 23.00,1145.19
49,03-03-2008 0.00,1077.222
50,03-03-2008 1.00,1012.7055
51,03-03-2008 2.00,956.4195
52,03-03-2008 3.00,938.1
53,03-03-2008 4.00,923.763
54,03-03-2008 5.00,923.055
55,03-03-2008 6.00,930.0465
56,03-03-2008 7.00,955.3575
57,03-03-2008 8.00,998.988
58,03-03-2008 9.00,1058.9025
59,03-03-2008 10.00,1105.6305
60,03-03-2008 11.00,1125.897
61,03-03-2008 12.00,1142.358
62,03-03-2008 13.00,1150.2345
63,03-03-2008 14.00,1143.774
64,03-03-2008 15.00,1129.1715
65,03-03-2008 16.00,1115.5425
66,03-03-2008 17.00,1128.8175
67,03-03-2008 18.00,1132.3575
68,03-03-2008 19.00,1148.6415
69,03-03-2008 20.00,1222.9815
70,03-03-2008 21.00,1259.9745
71,03-03-2008 22.00,1228.203
72,03-03-2008 23.00,1162.182
73,04-03-2008 0.00,1093.0635
74,04-03-2008 1.00,1045.8045
